id_bvote, scrutin, annee, tour, date, num_circ, num_quartier, num_arrond, num_bureau, nb_procu, nb_inscr, nb_emarg, nb_blanc, nb_nul, nb_exprim
12-59,Municipales,2020,2,2020-06-28,7,48,12,59,19,1249,527,527,7,3
12-60,Municipales,2020,2,2020-06-28,7,48,12,60,35,1389,511,512,10,7
12-61,Municipales,2020,2,2020-06-28,8,47,12,61,27,1486,609,609,12,10
12-62,Municipales,2020,2,2020-06-28,7,48,12,62,19,1411,600,600,8,6
12-63,Municipales,2020,2,2020-06-28,7,48,12,63,22,1350,494,494,11,8
12-64,Municipales,2020,2,2020-06-28,8,45,12,64,26,1276,527,527,5,4
6-1,Municipales,2020,2,2020-06-28,2,22,6,1,29,1320,462,462,9,0
6-2,Municipales,2020,2,2020-06-28,2,22,6,2,79,1279,501,501,2,2
6-3,Municipales,2020,2,2020-06-28,2,22,6,3,57,1428,568,568,13,6
6-4,Municipales,2020,2,2020-06-28,2,21,6,4,22,1129,413,414,6,2
6-5,Municipales,2020,2,2020-06-28,2,21,6,5,41,1194,424,424,6,1
6-6,Municipales,2020,2,2020-06-28,2,21,6,6,29,1130,442,442,7,1
6-7,Municipales,2020,2,2020-06-28,2,24,6,7,38,1012,378,378,3,5
6-8,Municipales,2020,2,2020-06-28,2,24,6,8,29,1018,379,379,7,5
6-9,Municipales,2020,2,2020-06-28,2,24,6,9,36,899,361,359,2,1
6-10,Municipales,2020,2,2020-06-28,2,22,6,10,46,1121,481,481,8,6
6-11,Municipales,2020,2,2020-06-28,11,23,6,11,28,1263,463,463,1,4
6-12,Municipales,2020,2,2020-06-28,11,23,6,12,40,1127,466,466,1,3
6-13,Municipales,2020,2,2020-06-28,11,23,6,13,85,1338,564,564,3,7
6-14,Municipales,2020,2,2020-06-28,11,23,6,14,46,1234,476,476,7,5
6-15,Municipales,2020,2,2020-06-28,11,23,6,15,49,1223,462,462,5,2
6-16,Municipales,2020,2,2020-06-28,11,23,6,16,51,1496,546,546,7,7
6-17,Municipales,2020,2,2020-06-28,11,23,6,17,31,1502,633,633,7,2
6-18,Municipales,2020,2,2020-06-28,11,23,6,18,29,1035,429,429,8,1
6-19,Municipales,2020,2,2020-06-28,11,23,6,19,27,1063,433,433,2,1
6-20,Municipales,2020,2,2020-06-28,11,23,6,20,33,1185,482,482,5,3
6-21,Municipales,2020,2,2020-06-28,11,23,6,21,30,1133,460,459,10,3
6-22,Municipales,2020,2,2020-06-28,11,23,6,22,39,1266,536,536,6,7
10-1,Municipales,2020,2,2020-06-28,5,39,10,1,51,1521,599,600,14,5
10-2,Municipales,2020,2,2020-06-28,5,39,10,2,15,1679,649,649,13,5
10-3,Municipales,2020,2,2020-06-28,5,39,10,3,50,1548,639,639,19,7
10-4,Municipales,2020,2,2020-06-28,5,39,10,4,34,1380,534,534,16,2
10-5,Municipales,2020,2,2020-06-28,5,39,10,5,31,1334,511,511,10,2
10-6,Municipales,2020,2,2020-06-28,5,39,10,6,35,1431,565,566,6,4
10-7,Municipales,2020,2,2020-06-28,5,39,10,7,36,1372,528,528,7,5
10-8,Municipales,2020,2,2020-06-28,5,39,10,8,58,1597,634,634,13,4
